city,region,bairro,property_type,loteamento,price,bedrooms,bathrooms,house_size,lot_size,sqft_above,sqft_basement,floors,waterfront,view,condition,grade,year_built,year_renovated,zipcode,lat,long
Porto Alegre,Capital,Bela Vista,Terreno,—,1414446,0,0.0,0,852,0,0,0.0,0,1,2,5,1999,0,90018,-29.989917643298817,-51.25314773183588
Veranópolis,Serra Gaúcha,Centro,Casa,—,706047,2,1.0,232,408,232,0,1.0,1,1,4,9,1980,2008,95334,-28.923656858536773,-51.595910713751934
Porto Alegre,Capital,Cristal,Apartamento,—,1139121,3,1.0,156,156,156,0,1.0,0,4,3,8,2015,0,90017,-30.036719340227847,-51.217665067188605
Canela,Serra Gaúcha,Industrial,Casa,—,3889828,4,2.5,246,618,246,0,2.0,0,2,2,9,2001,0,95681,-29.324519159796615,-50.76744751386159
Porto Alegre,Capital,Bela Vista,Condomínio Residencial,—,1659368,3,3.0,164,314,164,0,3.0,0,4,4,12,2010,0,90011,-30.003609766945704,-51.25635121349487
Bento Gonçalves,Serra Gaúcha,Fátima,Apartamento,—,890673,2,2.0,132,132,132,0,4.0,0,3,3,9,1993,0,95706,-29.19468553078002,-51.51788209481838
Farroupilha,Serra Gaúcha,São Caetano,Condomínio Residencial,—,2149414,2,3.0,312,644,312,0,2.0,0,3,5,8,1988,0,95183,-29.239136438485463,-51.363990575932405
Porto Alegre,Capital,Mont'Serrat,Apartamento,—,714225,1,2.0,89,89,89,0,5.0,0,4,5,6,1976,0,90013,-30.07406895325354,-51.175694108766464
Canela,Serra Gaúcha,Industrial,Terreno,—,2905299,0,0.0,0,991,0,0,0.0,0,2,3,4,1998,0,95686,-29.326302030176592,-50.781619810857414
Farroupilha,Serra Gaúcha,Cinquentenário,Casa,—,1511412,3,1.0,279,684,223,56,3.0,0,2,2,7,2018,2012,95186,-29.226065593953034,-51.31646956137947
Canela,Serra Gaúcha,Fontes do Ipê,Condomínio Residencial,—,3012239,3,2.0,164,751,164,0,1.0,0,4,3,10,2017,0,95681,-29.3845219346575,-50.76527991356419
Gramado,Serra Gaúcha,Mato Queimado,Condomínio Residencial,—,5505855,3,3.5,203,507,203,0,1.0,0,0,3,9,1982,0,95671,-29.41732958326906,-50.88709374098435
Caxias do Sul,Serra Gaúcha,Centro,Casa,—,2058273,3,2.0,237,412,237,0,2.0,0,2,5,7,1977,0,95010,-29.19185243786668,-51.18812314507579
Vila Flores,Serra Gaúcha,Linha Aimoré,Terreno,Linha Aimoré,149458,0,0.0,0,802,0,0,0.0,0,1,2,6,2013,0,95343,-28.840734286170083,-51.580026653945005
Gramado,Serra Gaúcha,Três Pinheiros,Terreno,—,3066607,0,0.0,0,768,0,0,0.0,0,1,1,4,1996,0,95678,-29.339586969392997,-50.860843274823296
Porto Alegre,Capital,Três Figueiras,Apartamento,—,398520,3,1.0,51,51,51,0,12.0,0,4,4,10,1991,0,90014,-30.047840730895366,-51.17624648308455
Bento Gonçalves,Serra Gaúcha,São Roque,Apartamento,—,701010,2,2.0,114,114,114,0,3.0,0,1,5,6,1971,2020,95707,-29.18648537670133,-51.50263299104044
Bento Gonçalves,Serra Gaúcha,Centro,Casa,—,742893,3,1.0,118,451,118,0,1.0,0,4,2,7,1993,2018,95701,-29.158645747119877,-51.480300979453325
Garibaldi,Serra Gaúcha,Progresso,Comercial,—,785570,0,1.0,204,233,204,0,1.0,0,0,5,6,2017,2014,95725,-29.250099611608576,-51.5297159439208
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Terreno,—,1381517,0,0.0,0,837,0,0,0.0,0,3,3,5,2011,0,95012,-29.172672967009504,-51.20980057278596
Nova Prata,Serra Gaúcha,Clivatti,Casa,—,393025,3,2.0,114,500,114,0,2.0,0,2,4,8,1971,2003,95328,-28.81123833844555,-51.59556439999047
Vila Flores,Serra Gaúcha,Bairro Alto,Terreno,Residencial Horizontes,213391,0,0.0,0,515,0,0,0.0,0,3,3,4,2007,0,95343,-28.867676354695252,-51.56079560493596
Porto Alegre,Capital,Mont'Serrat,Terreno,—,1169072,0,0.0,0,629,0,0,0.0,0,2,2,3,2006,0,90010,-30.05928439468653,-51.2097014684439
Gramado,Serra Gaúcha,Mato Queimado,Casa,—,1574372,2,2.0,84,263,84,0,2.0,0,0,5,9,2007,0,95670,-29.35279784270185,-50.84179417590343
Canela,Serra Gaúcha,Centro,Casa,—,1087023,4,2.5,80,663,80,0,1.0,0,1,2,7,2017,0,95682,-29.371195280117284,-50.772726858203605
Nova Prata,Serra Gaúcha,Frizon,Terreno,Lot. Frizon / Chiomento,125404,0,0.0,0,379,0,0,0.0,0,1,2,5,2013,0,95329,-28.79849171689627,-51.61642841341803
Bento Gonçalves,Serra Gaúcha,Charqueadas,Apartamento,—,846847,3,2.0,124,124,124,0,3.0,0,3,4,7,2004,0,95703,-29.13405383784521,-51.53205170394476
Caxias do Sul,Serra Gaúcha,Santa Catarina,Casa,—,1789415,3,3.5,207,578,207,0,1.0,0,0,5,5,2000,0,95010,-29.12094335820215,-51.15518437973749
Nova Prata,Serra Gaúcha,São Cristóvão,Apartamento,—,464450,1,1.0,141,141,141,0,3.0,0,1,5,7,1985,2012,95323,-28.739531070935243,-51.612903078291374
Caxias do Sul,Serra Gaúcha,Santa Catarina,Comercial,—,989386,0,2.0,133,217,133,0,3.0,0,1,5,8,1997,0,95014,-29.13794811503618,-51.22922753557437
Porto Alegre,Capital,Chácara das Pedras,Terreno,—,866116,0,0.0,0,530,0,0,0.0,0,2,1,5,1991,0,90013,-30.071688717370296,-51.24696823307668
Caxias do Sul,Serra Gaúcha,Exposição,Apartamento,—,397834,1,1.0,47,47,47,0,5.0,0,1,3,9,1988,2000,95017,-29.13921279833182,-51.13397105621311
Garibaldi,Serra Gaúcha,São João,Casa,—,862463,4,2.0,167,594,167,0,1.0,0,0,4,10,2007,0,95720,-29.210418606593596,-51.550455558693436
Bento Gonçalves,Serra Gaúcha,São Bento,Terreno,—,1550790,0,0.0,0,1148,0,0,0.0,0,1,1,6,2020,0,95708,-29.157380023538504,-51.51495239472671
Caxias do Sul,Serra Gaúcha,Exposição,Terreno,—,1030387,0,0.0,0,623,0,0,0.0,0,1,1,3,2006,0,95014,-29.150330056206652,-51.192688741074384
Canela,Serra Gaúcha,Jardim,Condomínio Residencial,—,4427660,4,3.5,257,707,257,0,1.0,0,4,4,8,1993,2016,95686,-29.36200918878185,-50.840812116515046
Bento Gonçalves,Serra Gaúcha,São Bento,Apartamento,—,995634,1,1.0,165,165,165,0,8.0,0,3,2,8,1971,2014,95700,-29.13810891885604,-51.55667008719059
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Apartamento,—,734931,1,2.0,92,92,92,0,1.0,1,4,2,7,1992,0,95016,-29.130430459953054,-51.15596542584186
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,255000,0,0.0,0,420,0,0,0.0,0,2,3,6,2020,0,95335,-28.870490218588596,-51.59193377358011
Garibaldi,Serra Gaúcha,São João,Condomínio Residencial,—,1396543,2,3.5,236,467,236,0,1.0,0,4,3,10,2021,0,95723,-29.266871530889883,-51.498573972468094
Caxias do Sul,Serra Gaúcha,Exposição,Casa,—,1756853,2,2.5,224,507,224,0,2.0,0,4,5,7,2007,2014,95015,-29.183842751597766,-51.154785822009096
Vila Flores,Serra Gaúcha,Linha Aimoré,Apartamento,—,379902,2,2.0,143,143,143,0,1.0,0,3,2,8,1970,0,95336,-28.846114171193406,-51.63378279765998
Canela,Serra Gaúcha,São José,Casa,—,3817534,2,2.0,271,735,271,0,2.0,0,4,5,7,1991,2007,95682,-29.359886721136537,-50.81971519988653
Nova Prata,Serra Gaúcha,Sagrada Família,Apartamento,—,502365,3,2.0,153,153,153,0,5.0,0,1,3,10,1982,0,95321,-28.753861567508736,-51.63373240398649
Porto Alegre,Capital,Boa Vista,Terreno,—,1288177,0,0.0,0,794,0,0,0.0,0,3,2,6,1996,0,90015,-30.077042209636556,-51.21410254498874
Vila Flores,Serra Gaúcha,Centro,Casa,—,525300,3,3.0,204,375,204,0,1.0,0,4,3,7,1977,0,95338,-28.87250524642219,-51.60527942964498
Gramado,Serra Gaúcha,Mato Queimado,Casa,—,5969121,2,1.0,279,749,279,0,1.0,0,4,3,9,1973,0,95679,-29.36460015766592,-50.839382772339334
Porto Alegre,Capital,Menino Deus,Casa,—,1003911,3,1.0,145,388,145,0,1.0,0,4,3,7,1977,0,90010,-30.011119367424985,-51.19786047195783
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Casa,—,746094,2,3.5,88,561,88,0,2.0,0,3,3,9,1985,0,95010,-29.130738460568157,-51.20608064927042
Vila Flores,Serra Gaúcha,Centro,Apartamento,—,210309,1,1.0,87,87,87,0,3.0,0,2,3,6,1970,0,95342,-28.868780569184793,-51.631699597770876
Caxias do Sul,Serra Gaúcha,Desvio Rizzo,Terreno,—,1303077,0,0.0,0,758,0,0,0.0,0,0,2,4,1995,0,95019,-29.200640200875284,-51.22324730961874
Canela,Serra Gaúcha,Fontes do Ipê,Apartamento,—,1421637,1,2.0,103,103,103,0,5.0,0,3,4,7,2017,2008,95689,-29.34983355894535,-50.82886993563334
Caxias do Sul,Serra Gaúcha,São Pelegrino,Comercial,—,2553189,0,1.0,367,514,367,0,1.0,0,2,3,5,1972,0,95019,-29.132347827250197,-51.16115661274588
Veranópolis,Serra Gaúcha,Renovação,Casa,—,508065,3,2.0,171,488,171,0,1.0,0,0,3,5,2004,0,95335,-28.916017330665863,-51.5752658153924
Porto Alegre,Capital,Petrópolis,Apartamento,—,420752,3,1.0,56,56,56,0,5.0,0,4,3,9,1995,2006,90014,-30.02181613477036,-51.214908399712705
Veranópolis,Serra Gaúcha,Centro,Casa,—,692322,3,3.0,216,348,216,0,1.0,1,2,2,7,2001,2014,95332,-28.926696535364396,-51.55629831468371
Caxias do Sul,Serra Gaúcha,Centro,Casa,—,902301,2,1.0,102,426,80,22,1.0,0,4,5,8,1978,2002,95015,-29.19081243573832,-51.21090621443887
Porto Alegre,Capital,Centro Histórico,Casa,—,2074037,3,1.0,267,428,267,0,2.0,0,0,3,10,2011,0,90014,-30.012589318200245,-51.252334256314086
Farroupilha,Serra Gaúcha,Pio X,Condomínio Residencial,—,2008996,3,2.0,284,674,284,0,3.0,0,0,3,9,1982,2003,95181,-29.267004471764604,-51.34598734523197
Canela,Serra Gaúcha,Jardim,Apartamento,—,1934078,3,2.0,128,128,128,0,1.0,0,2,4,7,2009,0,95680,-29.341961046469613,-50.83946333675049
Garibaldi,Serra Gaúcha,Progresso,Apartamento,—,681247,1,2.0,132,132,132,0,2.0,0,2,3,9,1996,0,95721,-29.228590880746193,-51.53799700391073
Caxias do Sul,Serra Gaúcha,Sanvitto,Terreno,—,1448487,0,0.0,0,860,0,0,0.0,0,2,3,4,1996,0,95010,-29.143814219673114,-51.21568216645102
Porto Alegre,Capital,Bela Vista,Casa,—,1360880,3,1.5,167,669,167,0,2.0,0,3,3,6,2005,2017,90013,-29.990763577346208,-51.22255474038569
Vila Flores,Serra Gaúcha,Linha Aimoré,Terreno,Linha Aimoré,166544,0,0.0,0,844,0,0,0.0,0,0,2,5,2004,0,95335,-28.836528082538372,-51.636621059833075
Caxias do Sul,Serra Gaúcha,Centro,Terreno,—,807025,0,0.0,0,493,0,0,0.0,0,2,2,4,2021,0,95017,-29.12169307070751,-51.15743522149856
Canela,Serra Gaúcha,Jardim,Casa,—,2367373,4,2.0,160,465,160,0,3.0,0,4,4,5,2019,2012,95689,-29.37419871678562,-50.81964215700418
Nova Prata,Serra Gaúcha,Centro,Casa,—,643894,2,2.0,185,760,185,0,2.0,0,3,3,8,2019,0,95329,-28.792655774658694,-51.60393598196322
Gramado,Serra Gaúcha,Centro,Casa,—,2220639,4,3.0,121,665,67,54,2.0,0,0,3,5,1993,0,95670,-29.363674239353415,-50.84378726825838
Canela,Serra Gaúcha,São José,Casa,—,2869407,4,3.5,214,346,139,75,1.0,0,0,4,6,1971,0,95683,-29.377500895458436,-50.85008377293543
Garibaldi,Serra Gaúcha,São João,Comercial,—,1516802,0,2.0,347,539,347,0,3.0,0,1,4,5,1982,2018,95726,-29.283627761397092,-51.55565055091236
Veranópolis,Serra Gaúcha,Femaçã,Terreno,Morada do Bosque,421817,0,0.0,0,491,0,0,0.0,0,1,3,6,1994,0,95336,-28.916105014961914,-51.54247167450328
Caxias do Sul,Serra Gaúcha,Santa Catarina,Apartamento,—,619970,2,2.0,82,82,82,0,2.0,0,3,5,7,2016,0,95015,-29.21388041088167,-51.137886955076894
Vila Flores,Serra Gaúcha,Centro,Terreno,Florescer Parque Residencial,540000,0,0.0,0,797,0,0,0.0,0,2,3,6,2023,0,95335,-28.8715837286708,-51.60233509330904
Veranópolis,Serra Gaúcha,Interior,Comercial,—,116803,0,2.0,50,152,50,0,2.0,0,0,2,5,1978,0,95335,-28.979829837685212,-51.572359374558715
Nova Petrópolis,Serra Gaúcha,Linha Imperial,Casa,—,1245641,2,2.0,254,499,254,0,1.0,0,3,5,7,2013,0,95157,-29.389263945388176,-51.101756379227794
Caxias do Sul,Serra Gaúcha,Sanvitto,Condomínio Residencial,—,3380339,2,3.0,330,602,330,0,2.0,0,3,4,10,2017,0,95017,-29.194516735782194,-51.19989217909062
Bento Gonçalves,Serra Gaúcha,Planalto,Condomínio Residencial,—,1005060,4,3.5,123,692,123,0,1.0,0,4,3,8,1993,0,95707,-29.169307025760876,-51.52870558825797
Caxias do Sul,Serra Gaúcha,Desvio Rizzo,Apartamento,—,1079903,3,2.0,129,129,129,0,4.0,0,3,4,10,2010,2023,95013,-29.17857460041741,-51.154600018602004
Porto Alegre,Capital,Centro Histórico,Apartamento,—,674403,2,1.0,83,83,83,0,4.0,0,0,5,6,1986,2010,90018,-30.000147769851182,-51.18801512633092
Garibaldi,Serra Gaúcha,São João,Terreno,—,970465,0,0.0,0,776,0,0,0.0,0,0,1,6,2001,0,95728,-29.29460773630993,-51.547382763471845
Porto Alegre,Capital,Chácara das Pedras,Apartamento,—,942591,2,1.0,129,129,129,0,1.0,0,1,4,7,2019,2003,90015,-30.033377218751138,-51.17762265970853
Veranópolis,Serra Gaúcha,São Pelegrino,Apartamento,—,296387,2,2.0,99,99,99,0,4.0,0,1,4,7,1994,2001,95332,-28.974889070411496,-51.54789037854132
Gramado,Serra Gaúcha,Mato Queimado,Terreno,—,4671112,0,0.0,0,963,0,0,0.0,0,3,2,3,2007,0,95677,-29.3824397412807,-50.89171840310756
Vila Flores,Serra Gaúcha,Linha Aimoré,Apartamento,—,445167,3,1.0,176,176,176,0,10.0,0,0,3,7,1970,0,95342,-28.84736828846597,-51.574894311565004
Veranópolis,Serra Gaúcha,São Pelegrino,Casa,—,771924,3,2.0,232,566,232,0,1.0,0,3,2,7,1981,0,95334,-28.933473557853407,-51.51340593301851
Porto Alegre,Capital,Bela Vista,Casa,—,2282587,3,2.0,284,405,238,46,3.0,0,1,5,10,1991,0,90016,-30.05209445225376,-51.22776971765035
Canela,Serra Gaúcha,Jardim,Comercial,—,1089010,0,2.0,103,169,103,0,1.0,0,2,2,8,1970,0,95682,-29.3745640129644,-50.80335002940899
Gramado,Serra Gaúcha,Morada da Serra,Terreno,—,4228382,0,0.0,0,837,0,0,0.0,0,3,1,4,2002,0,95672,-29.382507771388997,-50.83184315996857
Canela,Serra Gaúcha,Jardim,Condomínio Residencial,—,6719683,2,2.5,348,823,348,0,1.0,0,0,5,12,2017,2023,95685,-29.394532480287488,-50.79428706899972
Veranópolis,Serra Gaúcha,Medianeira,Condomínio Residencial,—,641713,2,2.0,162,289,162,0,2.0,0,1,4,10,1978,2013,95337,-28.986214237967946,-51.520058339890554
Caxias do Sul,Serra Gaúcha,Exposição,Apartamento,—,937916,2,1.0,127,127,127,0,4.0,0,1,3,7,1977,0,95018,-29.2031897815398,-51.18701255971221
Nova Petrópolis,Serra Gaúcha,Vila Nova,Casa,—,348790,4,1.5,83,274,83,0,1.0,0,0,3,5,1979,0,95157,-29.34789623240683,-51.09642069468028
Nova Petrópolis,Serra Gaúcha,Vila Nova,Casa,—,704130,4,2.5,145,296,107,38,1.0,0,2,3,9,1992,0,95158,-29.34650690029082,-51.14055137152495
Farroupilha,Serra Gaúcha,Pio X,Condomínio Residencial,—,2007100,3,3.0,267,651,249,18,2.0,0,3,5,12,1991,0,95187,-29.231891221734102,-51.36021991254014
Canela,Serra Gaúcha,Reserva da Serra,Apartamento,—,2149659,2,1.0,145,145,145,0,7.0,0,2,4,7,2013,0,95688,-29.344751864388808,-50.83487095684031
Farroupilha,Serra Gaúcha,Desvio Rizzo,Apartamento,—,361768,2,1.0,68,68,68,0,3.0,0,0,5,7,1999,2010,95185,-29.24766798787882,-51.371403887505764
Gramado,Serra Gaúcha,Canavial,Casa,—,2688543,2,3.0,124,496,124,0,2.0,0,3,4,7,1981,2013,95675,-29.329492222754762,-50.92223556901731
Nova Prata,Serra Gaúcha,Clivatti,Casa,—,376092,2,2.0,99,429,73,26,3.0,0,2,3,5,1984,0,95323,-28.771481411267267,-51.633079237774254
Nova Petrópolis,Serra Gaúcha,Linha Imperial,Apartamento,—,805382,3,1.0,168,168,168,0,4.0,1,4,3,9,1973,0,95158,-29.342383050086074,-51.16154062294371
Gramado,Serra Gaúcha,Morada da Serra,Casa,—,1807424,4,3.0,94,654,94,0,3.0,0,4,5,10,2014,0,95678,-29.406704596043905,-50.880978470584274
Farroupilha,Serra Gaúcha,Pio X,Casa,—,1113583,2,3.0,205,751,205,0,1.0,0,0,2,10,1971,0,95187,-29.209971037962717,-51.327397936115865
Gramado,Serra Gaúcha,Mato Queimado,Casa,—,2257362,4,3.0,118,306,118,0,1.0,0,0,4,7,2000,0,95674,-29.3427185582184,-50.8618747581432
Porto Alegre,Capital,Chácara das Pedras,Apartamento,—,501734,2,1.0,70,70,70,0,6.0,0,0,3,6,1992,0,90018,-30.01250565176209,-51.167922707990094
Veranópolis,Serra Gaúcha,Femaçã,Terreno,Morada do Bosque,383022,0,0.0,0,448,0,0,0.0,0,2,1,6,2017,0,95332,-28.93886640154992,-51.59601622052377
Vila Flores,Serra Gaúcha,Centro,Casa,—,698952,2,1.0,280,379,280,0,1.0,1,4,2,9,1982,2017,95337,-28.893275250552115,-51.601252575528754
Gramado,Serra Gaúcha,Várzea Grande,Terreno,—,3620130,0,0.0,0,843,0,0,0.0,0,3,3,6,2002,0,95678,-29.389437011184995,-50.89418675114003
Vila Flores,Serra Gaúcha,Linha Aimoré,Comercial,—,387077,0,1.0,169,313,169,0,2.0,0,1,2,5,2008,2003,95344,-28.90499668169762,-51.554323838095726
Porto Alegre,Capital,Bela Vista,Apartamento,—,1244820,2,2.0,169,169,169,0,7.0,0,3,5,7,2004,0,90013,-30.056646301294595,-51.2641133425314
Porto Alegre,Capital,Menino Deus,Apartamento,—,739702,3,2.0,105,105,105,0,6.0,0,1,3,8,1971,2020,90012,-29.998656097554054,-51.21475820029669
Nova Petrópolis,Serra Gaúcha,Recanto Suíço,Terreno,—,568026,0,0.0,0,604,0,0,0.0,0,3,3,4,1996,0,95153,-29.35174357917891,-51.13663921393151
Nova Prata,Serra Gaúcha,Santa Cruz,Condomínio Residencial,—,1361713,3,2.5,314,796,314,0,2.0,0,1,3,9,2001,2022,95322,-28.818949178422717,-51.58246901021466
Gramado,Serra Gaúcha,Várzea Grande,Condomínio Residencial,—,5422504,2,2.5,196,335,196,0,2.0,0,2,5,10,1983,0,95670,-29.405432773453843,-50.886774986559935
Gramado,Serra Gaúcha,Várzea Grande,Apartamento,—,1012580,1,2.0,54,54,54,0,7.0,0,0,5,9,1980,0,95672,-29.349293955237414,-50.835339510860955
Caxias do Sul,Serra Gaúcha,Desvio Rizzo,Comercial,—,681682,0,1.0,113,188,113,0,1.0,0,0,2,6,1985,0,95013,-29.207143202980923,-51.18103957482459
Garibaldi,Serra Gaúcha,Progresso,Comercial,—,1438083,0,2.0,357,511,357,0,1.0,0,1,2,7,1997,0,95722,-29.277918918295896,-51.48656520423087
Nova Petrópolis,Serra Gaúcha,Centro,Casa,—,1217951,3,3.0,271,619,271,0,1.0,0,3,3,9,2022,0,95154,-29.381384159409123,-51.150555748106385
Gramado,Serra Gaúcha,Várzea Grande,Comercial,—,4569808,0,1.0,310,505,310,0,1.0,0,2,4,6,1970,0,95670,-29.426727654429595,-50.84122078868639
Gramado,Serra Gaúcha,Canavial,Casa,—,2080639,4,2.0,106,540,106,0,2.0,0,1,2,10,1985,0,95679,-29.38198665630279,-50.8610187734956
Canela,Serra Gaúcha,Reserva da Serra,Condomínio Residencial,—,3719352,4,2.5,229,749,229,0,2.0,0,1,3,10,1974,0,95689,-29.35025673983342,-50.80291085743227
Gramado,Serra Gaúcha,Centro,Terreno,—,4224392,0,0.0,0,872,0,0,0.0,0,3,2,6,2007,0,95671,-29.367589058100588,-50.92468752665231
Nova Prata,Serra Gaúcha,Santa Cruz,Apartamento,—,415513,1,2.0,112,112,112,0,5.0,0,4,5,6,1995,0,95321,-28.76528075001741,-51.60185894040562
Gramado,Serra Gaúcha,Centro,Casa,—,1644320,2,1.0,86,648,86,0,1.0,0,4,3,7,2019,0,95673,-29.394999225939713,-50.89330761164693
Nova Petrópolis,Serra Gaúcha,Recanto Suíço,Condomínio Residencial,—,1165763,4,3.0,204,680,204,0,2.0,0,0,5,9,2012,0,95155,-29.327513245279352,-51.06960886777429
Canela,Serra Gaúcha,Jardim,Comercial,—,1820242,0,1.0,137,243,137,0,1.0,0,0,2,5,2018,0,95681,-29.369436286194,-50.84584632738825
Porto Alegre,Capital,Chácara das Pedras,Casa,—,580032,4,3.0,78,333,78,0,1.0,0,3,5,5,1992,2021,90017,-30.049684717305162,-51.19715196473552
Nova Prata,Serra Gaúcha,Santa Cruz,Casa,—,502994,2,2.5,129,597,129,0,1.0,0,1,3,10,2005,0,95324,-28.7558716489183,-51.65213440963164
Porto Alegre,Capital,Moinhos de Vento,Apartamento,—,1260758,2,1.0,159,159,159,0,10.0,0,3,5,7,2014,0,90016,-30.071351973156084,-51.17282430603133
Vila Flores,Serra Gaúcha,Linha Aimoré,Terreno,Linha Aimoré,159909,0,0.0,0,756,0,0,0.0,0,0,1,6,2014,0,95341,-28.89792806201571,-51.56716189166035
Nova Prata,Serra Gaúcha,Clivatti,Condomínio Residencial,—,1323711,2,3.5,298,775,298,0,2.0,0,4,5,8,2007,0,95320,-28.782087481813925,-51.65263522594319
Veranópolis,Serra Gaúcha,Femaçã,Terreno,Cond. Jardim Europa,521717,0,0.0,0,1491,0,0,0.0,0,3,1,5,2015,0,95334,-28.98102487328186,-51.528660758274285
Gramado,Serra Gaúcha,Morada da Serra,Condomínio Residencial,—,6500371,4,3.5,233,536,233,0,1.0,0,0,3,11,2006,0,95678,-29.39746520573701,-50.885933836599065
Caxias do Sul,Serra Gaúcha,Sagrada Família,Terreno,—,584530,0,0.0,0,304,0,0,0.0,0,1,3,5,1994,0,95016,-29.1839173682478,-51.14099694488073
Garibaldi,Serra Gaúcha,Progresso,Apartamento,—,474990,2,1.0,94,94,94,0,4.0,0,3,2,6,1971,2014,95725,-29.267868624615236,-51.51478242563298
Veranópolis,Serra Gaúcha,Interior,Casa,—,391192,4,2.0,121,683,79,42,3.0,0,4,4,9,1987,0,95339,-28.931673910726737,-51.57763949263744
Gramado,Serra Gaúcha,Centro,Casa,—,4281523,4,1.0,232,416,232,0,1.0,0,4,2,10,1983,0,95671,-29.376433249055644,-50.83778731179641
Nova Prata,Serra Gaúcha,São Cristóvão,Terreno,Lot. Colinas do Caravaggio,161524,0,0.0,0,420,0,0,0.0,0,1,3,6,1996,0,95328,-28.76263802303028,-51.56625452929391
Farroupilha,Serra Gaúcha,São Caetano,Casa,—,1663499,2,2.0,276,834,276,0,2.0,0,1,2,6,2006,0,95189,-29.209654456569698,-51.34047979358446
Nova Prata,Serra Gaúcha,Interior,Terreno,Roteiro das Águas,367147,0,0.0,0,2192,0,0,0.0,0,3,2,3,1991,0,95327,-28.772086341777776,-51.660526015541855
Bento Gonçalves,Serra Gaúcha,São Roque,Apartamento,—,854141,3,2.0,145,145,145,0,5.0,0,3,4,8,2004,0,95703,-29.145228245613843,-51.51414324311815
Canela,Serra Gaúcha,Reserva da Serra,Casa,—,3481313,3,2.0,253,623,253,0,3.0,0,0,4,6,1984,0,95686,-29.33238205171687,-50.776019831080646
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Terreno,—,2330906,0,0.0,0,1110,0,0,0.0,0,0,3,4,2011,0,95017,-29.154357636753634,-51.16578878590329
Gramado,Serra Gaúcha,Mato Queimado,Apartamento,—,1931839,1,2.0,105,105,105,0,4.0,1,2,2,7,2016,2002,95675,-29.37994979934928,-50.892790583898936
Veranópolis,Serra Gaúcha,Renovação,Terreno,Renovação,433260,0,0.0,0,508,0,0,0.0,0,2,3,6,1990,0,95338,-28.900750802358452,-51.58606772861172
Vila Flores,Serra Gaúcha,Linha Aimoré,Casa,—,626840,4,1.5,230,555,230,0,1.0,0,1,2,9,2008,0,95341,-28.888544526176144,-51.62929009474453
Garibaldi,Serra Gaúcha,Progresso,Casa,—,527264,4,1.5,110,607,110,0,1.0,0,0,4,9,1976,0,95723,-29.30253533020848,-51.56408350131236
Porto Alegre,Capital,Chácara das Pedras,Apartamento,—,1314154,3,2.0,166,166,166,0,5.0,0,1,4,7,1992,0,90015,-30.076377011177353,-51.22464777962619
Canela,Serra Gaúcha,São José,Condomínio Residencial,—,3319151,3,2.0,185,547,185,0,1.0,0,2,3,12,2019,0,95684,-29.311156009330023,-50.85637843301004
Gramado,Serra Gaúcha,Centro,Condomínio Residencial,—,3680520,4,3.0,151,356,151,0,1.0,0,0,5,10,2009,2023,95678,-29.345346980188893,-50.91720712569497
Nova Prata,Serra Gaúcha,Interior,Apartamento,—,420270,3,2.0,114,114,114,0,12.0,0,1,2,9,1997,2004,95320,-28.82275993386608,-51.613909541765224
Nova Prata,Serra Gaúcha,Santa Cruz,Casa,—,929391,4,1.0,240,673,240,0,3.0,0,4,3,9,1980,0,95320,-28.736256748157665,-51.59633097619984
Vila Flores,Serra Gaúcha,Linha Aimoré,Casa,—,708087,4,3.5,271,785,206,65,1.0,0,0,5,5,2023,0,95336,-28.829241954429264,-51.56430354704342
Veranópolis,Serra Gaúcha,Centro,Terreno,Centro (avulso),149095,0,0.0,0,367,0,0,0.0,0,0,2,5,2003,0,95334,-28.956950008560252,-51.52815483950528
Bento Gonçalves,Serra Gaúcha,Planalto,Apartamento,—,910228,1,1.0,139,139,139,0,5.0,0,4,5,10,2008,0,95706,-29.16287016796613,-51.499545040862365
Caxias do Sul,Serra Gaúcha,Marechal Floriano,Terreno,—,817826,0,0.0,0,394,0,0,0.0,0,3,2,3,2018,0,95014,-29.13192885767363,-51.183108219353386
Nova Petrópolis,Serra Gaúcha,Centro,Terreno,—,621832,0,0.0,0,729,0,0,0.0,0,1,2,3,2010,0,95155,-29.40168291391776,-51.11158110983111
Veranópolis,Serra Gaúcha,Medianeira,Casa,—,554849,3,2.5,178,637,178,0,1.0,0,0,5,7,1988,0,95330,-28.97895125553795,-51.54537589161288
Porto Alegre,Capital,Centro Histórico,Apartamento,—,438323,2,2.0,54,54,54,0,7.0,0,3,2,8,1975,2023,90014,-30.025652631571948,-51.20791097475552
Caxias do Sul,Serra Gaúcha,Sanvitto,Apartamento,—,702934,1,1.0,81,81,81,0,12.0,0,0,4,8,1986,0,95016,-29.206777479515416,-51.136860780442085
Farroupilha,Serra Gaúcha,São Caetano,Terreno,—,1328839,0,0.0,0,1155,0,0,0.0,0,0,1,3,2004,0,95185,-29.234949724757616,-51.37665324995658
